rule,type,coefficient,ci_lower,ci_upper,odds_ratio,or_ci_lower,or_ci_upper,scorecard_points
CT_径线缺失,ct_sign,1.3836227042173828,0.858145529104839,1.9221166826239888,3.989327635186584,2.358782341996421,6.835411564473127,10
CT_基线分叶,ct_sign,1.343681086096638,0.8732023572534287,1.9275268331673059,3.8331276398684495,2.3945668468795325,6.8724923860304825,10
MCHC_abnormal,blood,0.8128054556229051,-0.06646099282741659,1.7011644110589383,2.254223247227013,0.9356994141330122,5.480325028981253,6
CT_基线毛刺,ct_sign,0.7910604546130776,0.1934230121848375,1.4640138776213598,2.205734267528792,1.213395966251065,4.323277856507837,6
CEA_abnormal,blood,0.7409964598117221,0.28950404594558526,1.2519365050124482,2.098025070909116,1.335764845728004,3.497108572803857,5
CT_直径8–15mm,diameter,0.4930360876174531,-0.22736554361161346,1.2268758259217567,1.6372796058431347,0.7966295262258515,3.410557698676069,4
CT_直径>30mm,diameter,0.395430630901603,-0.22457829123698864,0.9728821784529669,1.4850235502774434,0.7988530310595923,2.6455584532087846,3
AAG_abnormal,blood,0.27977326755301046,-0.17960104879622724,0.7992621216515475,1.3228298498842963,0.8356035099480956,2.2238993557427142,2
APTT_abnormal,blood,0.17842933158007956,-0.5648170413995994,0.9856769871538835,1.195338407612097,0.5684641426476958,2.679625342441951,1
CT_直径15–30mm,diameter,-0.299671688185341,-0.9604407198103851,0.2583276797016852,0.7410614799863492,0.38272417467494413,1.2947630166789545,-2
AU_Urea_abnormal,blood,-0.3176956400779328,-0.8459519552343253,0.2106710812043311,0.7278242752467209,0.4291486334098705,1.2345062359705734,-2
LYMPH%_abnormal,blood,-0.3779110754750815,-0.829899432385459,0.059675646161442546,0.6852914371719364,0.4360931409632246,1.0614921916350046,-3
